Số 02, LK48
Số 87, Ngách 64
Tầng 17, Tòa nhà văn phòng Intracom
A2, tầng 12
15NV10 Khu Đô Thị Bắc, Quốc Lộ 32
Số 7 Đường Cầu Gáo, Cụm Công nghiệp Đan Phượng
Số 9, hẻm 18
Số 108, Ngõ 1
Khu Bãi Trám, thôn Dục Nội
Số 37 ngõ 1, Phố Nguyễn Thái Học
Lô số R6, L2A04
Số nhà 66 đường 19, 5
LK17, 04 Khu đô thị mới Phú Lương
Số nhà 17 ngõ 181/9, đường Hòa Bình
Phòng 403D, Nhà D khu Vinaconex 1
Số 17, ngách 180A/3 Đường Nguyễn Lương Bằng
Khu Lạch Trũng, Tổ 2 Thạch Cầu
Số nhà 23, ngõ 157
Số II, 2 ngõ 90/5 phố Kẻ Tạnh
BT3, 11 khu đô thị mới Tân Tây Đô
Số 3 Chùa Láng, Phường Láng Thượng
Căn hộ 5 và 6, B2 tập thể Tổng cục Địa chính
Số nhà 55, ngõ 97/24/1 đường Văn Cao
Tòa nhà số 9, phố Tôn Thất Thuyết
P1201 tâng 12, 2 Keangnam Hanoi Landmark 72
Số 657 Lạc Long Quân, Phường Xuân La
Phòng 1204, Tầng 12
Số 22/11 ngõ 88 phố Kim Hoa, Phường Phương Liên
Đội 5, thôn ứng Hòa
Số 6, hẻm 39
Số 110, Ngõ 75 Đường Giải Phóng
Tầng 23, tòa nhà Vinaconex 9
Số 20, Lô 13B
Số 167, phố Hoàng Ngân
Tầng 1, Số nhà 8
Số nhà 8, ngõ 81/12/2 đường Đông Ngạc
Tầng 8 Tòa Viwaseen Tower, Số 48 Tố Hữu
Số nhà 28 đường Đắc Sở 2, Thôn Đông Hạ
Kiôt T4, 36
Số 1D, ngách 159/21
SN 35, ngõ 394/16 đường Mỹ Đình
Số 28, ngõ 8 đường Tô Vĩnh Diện
Số 7, hẻm 27/41/9 đường Tây Mỗ
Tầng 6, Tòa nhà Sannam
Số 9, ngõ 40
Số 8, Dãy 1C
Tầng 4, tòa nhà số 559 Kim Mã
Xóm 2, thôn Hải Bối
Phòng 2001, tầng 20 tòa C
Số 4, ngõ 40
Biệt Thự HL 04, 05
Xóm San, thôn Khê Ngoại
Số 9, ngõ 39 đường Đặng Vũ Hỷ
Số 6, Ngách 325/135/10
Số nhà 41, tổ 6
Số 51, ngõ 249 đường Đội Cấn
Số 10, ngách 31/12
Tầng 2, số 28 Hào Nam
Số nhà 32 ngõ 106, đường La Nội
Số 109, Ngõ 360 Xã Đàn
Nhà số 7, ngõ 94 phố Kẻ Vẽ
Số nhà C303, tiểu khu Nguyễn Du
Số 5 ngõ 94, Đường Vũ Xuân Thiều
Tầng 4, Số 172 Ngọc Khánh
Lô 12, ngõ 221
Số 4, ngõ 4 Võng Thị
Tầng 2, Căn nhà NV5.10 KĐT Viglacera Tây Mỗ
Tổ dân phố số 8, phố Tu Hoàng
Số nhà 15, ngách 46
Căn nhà W1, 2301 Vinhomes West Point
Lô B02, số 15 ngõ 91 đường Nguyễn Chí Thanh
Tầng 15, tòa nhà Vinaconex
Số nhà 84 đường Quang Tiến, Tổ dân phố Đình 2
Số 130 ngõ Văn Hương, phố Tôn Đức Thắng
Lô R6, L2B
Tầng 5 Tòa Nhà Comatce Tower, Số 61 Ngụy Như Kon Tum
Số 5, Phố Thiên Hiền
Số 30, ngõ 52
Đội 2, Thôn Nhuận Trạch
TT3, 6
Số 9A, ngách 12
Số 37 Kim Mã Thượng, Phường Cống Vị
333 Khu đô thị Lacasta, Văn Phú
Số 273, đường Trần Khát Chân
Số nhà 15, Ngõ 304 Đường Di Trạch
S� 198, ph� Tr�n Quang Kh�i
Tầng 16, Tòa nhà Tòa nhà Kim Khí Thăng Long
căn hộ 1706, tầng 17
Số 28, Lô TT02
Số 7, ngõ 97 Đại Linh
Số nhà 03, ngách 433/3
Tầng 6, Số 9 Phố Mạc Thái Tông
Số nhà 39, ngách 36 ngõ 89 Lạc Long Quân
Số 5, ngõ 68
Phòng 603, tòa nhà Trần Phú
Tầng 4 Tháp A, Sky City Tower
Tầng 6, Tòa Nhà Horison
Số 20, ngõ 266 Lê Thanh Nghị
Tầng 2, Biệt thự L09
Số 37, ngõ 302 đường Minh Khai
Số nhà 20, ngõ 123 Tân Mai
Số 9, Ngõ 250/51/2 Đường Kim Giang
Thửa 198, 2
Tầng 2 khu thương mại và dịch vụ, nhà N03
Số nhà 6, Tổ 25
Nhà 28, hẻm 264/47/6 tổ 13 Đường Ngọc Thụy
Tầng 2, tòa nhà Detech Tower
Căn hộ A3, 16
Số nhà 17, hẻm 66
Số 24, Ngõ Vàng Thượng
Số 153, Ngõ 79 Cầu Giấy
Số 35, ngõ 77
Số 6, ngõ Xóm Đông
Căn hộ văn phòng số 1118, tầng 11
Số 90 đường Đại Mỗ, Tổ Dân Phố Liên Cơ
Số 29 hẻm 4/71/17, ngách 4/71
39, D6 Khu đô thị Geleximco
ô đất số 78, Lô 4
P 2312B, tầng 23
No17 Liền kề 641 Giếng Sen, đường Lê Trọng Tấn
Chung cư N09 số 193 Trung Kính, Phường Yên Hoà
Số 25, hẻm 481/14/16
Tòa nhà D'. le Roi Soleil, số 2 Đặng Thai Mai
Tầng 5, CT1
Số 3, ngách 25
Tầng 3, Số nhà 2A
Số nhà 11 ngõ 76 phố Chùa Hà, Phường Quan Hoa
Số nhà 28, Long Khánh 7
Số nhà 17, Cụm dân cư số 6
Tầng 16, Tòa nhà Kim khí Thăng Long
Phòng 303, tầng 3
Số 25 Đại La, Phường Trương Định
Số 6 Ngách 59 Ngõ 176 Trương Định, Phường Trương Định
Số 14 Trần Bình Trọng, Phường Trần Hưng Đạo
Tổ 2, Cụm I
Tầng 20, Tòa nhà Vinaconex 9
Số 1, ngõ 48
Số nhà 53, đường Đình Thôn
S9, tầng 19
Tầng 7 Toà nhà Golden Field, Phường Cầu Diễn
Số 66 ngõ 322 đường Mỹ Đình, Phường Mỹ Đình 1
Phòng 3326, tầng 33
Số 391 Đường Trường Chinh, Phường Khương Trung
Số 9 Ngõ 28 Ngụy Như Kon Tum, Phường Nhân Chính
Số nhà 5, ngách 211/75 đường Thượng Cát
Tầng 12A Toà nhà Viwaseen Tower, Số 48 Tố Hữu
Tầng 14, Tòa nhà Diamond Flower
Số nhà 2A, Ngõ 94 đường Hoàng Mai
Đội 8, Xóm Giữa
Số 7, Lô 7
Số 135 đường Cổ Vân, Thôn Dục Nội
Số nhà 21B, ngõ Quang Trung
Số 32, Ngõ 27
Số 81 đường số 15 KĐT TP Giao lưu, Phạm Văn Đồng
Tầng 2, Số 73
Xóm 4, Yên Bồ
Số 660 Nguyễn Khoái, Phường Vĩnh Hưng
BT16B3 làng Việt Kiều Châu âu, số 13 phố Nguyễn Văn Lộc
Số 13, Lô N03
Tầng 2, tòa nhà IPH số 142 đường Xuân Thủy
Tầng 6, tòa nhà văn phòng CTM
Số 10, ngõ 99 Hoàng Văn Thái
Số 2, ngách 28B /22 Phố Hạ Đình
Số 10 ngõ 35/37, phố Nguyễn An Ninh
Nhà số 31, Ngách 160/9/6 Phan Trọng Tuệ
Số 28 Ngõ 55, Phố Chính Chinh
Tầng 12 Tòa nhà Licogi 13, số 164 Khuất Duy Tiến
Tầng 16, Toà nhà Deaha Business Center
Lô 12, KĐT Đền Lừ
Tầng 07, Toà nhà văn phòng IRIS
Số nhà 18, Ngách 27
Tầng 1, Số 14
Số nhà 2, ngõ 99
ô 68, lô 7 Đền Lừ 2
Lô 3, Khu C
Số 4, ngõ 38
Số 4 đường Đồng Đồng, thôn Vân Lũng
Tầng 3, Số 7
Số 16, ngách 24
Số 26 LK2, KĐT Tân Tây Đô
Phòng 1608 Register 02, Tầng 16
Tầng 3, số 156
Cung Trí Thức TP, số 1 Tôn Thất Thuyết
Phòng 505, tầng 5
Số 5, Ngách 101/21
Số 3, tổ 22
Số nhà 26 ngõ 683/46 đường Nguyễn Khoái, tổ 9
Số nhà 74, đường 3.1 Gamuda Gardens
Số 8, Ngõ 1A
So�� nhà 24, ngách 30
A44, TT15 Đô Thị Mới Văn Quán
Đội 10, thôn Đại áng
Số 58, ngõ 259 Vĩnh Hưng
Số 135, C3
Số nhà 1, Thôn Sinh Yên
Số 6, ngõ 248 Thanh Bình
Số 27, Tổ 5
Số nhà 19, NV14
Thửa Đất 03, Lô 5
A16, BT2
Số nhà 210, Đường Phúc Diễn
Số nhà 5D, Tổ dân phố 810
Số 16, 18
Thửa 233 (N12, LK29) Bản đồ 30 Khu Văn La
Số 22, Ngõ 22 Phố Đỗ Quang
Số nhà 2, 4
Số nhà 74, tổ 65
Phòng 305, Khu văn phòng trung tâm chiếu phim quốc gia
Cụm 3, phố Từa
số 202, đường Mỹ Đình
B4, 05A Khu đô thị Vinhomes Gardenia
Số 8 Ngõ A8 Khu Tập Thể Cầu Thăng Long , Thôn Cổ Điển
Số 5, ngõ 267
Số 6a, ngõ 63/7 đường Lê Đức Thọ
Tầng 21 tòa nhà Capital Tower, số 109 Trần Hưng Đạo
Số nhà 2B, ngách 1/32 phố Thiên Hiền
Số 2, Ngõ 76
Xóm 4, Thôn Thái Bình
Tầng 6, 7
Số nhà 8C, ngách 189/93 ngõ 171 Nguyễn Ngọc Vũ
Số 6, ngõ 184
Số 82, đường Trần Thái Tông
Số Nhà 55, Ngõ 102 Phố Hoàng Đạo Thành
KM 15, Đại Lộ Thăng Long
Số nhà 01, Ngõ 88 Đường Ba Chàng
Nhà số 10A, ngõ Vôi 2
Số nhà 46, khu TT giáo viên
Số 6, ngõ 291/4 đường Ngô Xuân Quảng
Lô M177, phố Cửu Việt
Ngách 3/4, Ngõ 3
P205, Tầng 2
Số 73C, Ngõ 3 Đường Lê Trọng Tấn
Lô 44D, KCN Quang Minh
Nhà số 8, ngách 20/7
Tầng M Tòa nhà Trung tâm thương mại Grand Plaza, số 117 Trần
Số 1, Phố Thi Sách
LK3, 32 Số 90 Nguyễn Tuân
Phòng 102, tòa A4D6
Số nhà 38B, hẻm 23/36/32
Số nhà 15, ngõ 192
Căn hộ số 8 hồ kẻ khế A, Đường Giang Văn Minh
TT3, 02A Vinhomes Greenbay
Số 2, ngõ 155 Cầu Giấy
Số 15, ngõ 1194/141 đường Láng
Số 5N4, ngõ 81 Hoàng Cầu
Số 12B, LK 01
Nhà số V5B, 11
Tầng 3, Tòa nhà SME Hoàng Gia
Lô 49G, KCN Quang Minh
Số 15, Ngách 41/1
So�� 74, to�� 10A
Số 96/44, Ngõ Trạm Điện
LK 8, 17 Khu đô thị mới Văn Phú
Số nhà 30, Ngách 15
Số 35 Tân Xa, Tổ 11
Phòng 906, Tầng 9
Số 65 Ngõ 1, phố Bùi Xương Trạch
Thửa đất số 13C3, Tờ bản đồ số 3
Thửa đất 116A, tờ bản đồ số 3
Số nhà 11, ngách 2 ngõ 209
D25, NV015 ô Số 51 KĐT Hai Bên Đường Lê Trọng Tấn
Tầng 29, tòa Đông
Tầng 10 tòa nhà VTC Online, số 18 đường Tam Trinh
Lô 502, tầng 5
Số 32, TT4A
Nhà 22, Ngõ 1214 đường Quang Trung
Tầng 3, tòa CT1 thuộc dự án Bắc Hà � C14
Số 147, ngõ 63 Lê Đức Thọ
Tầng 10, Tòa Nhà Sông Đà 9
Số 94, ngõ 126 đường Khuất Duy Tiến
Số 4 Ngách 342/101, Đường Khương Đình
Lô 24, Dịch vụ 8
Tầng 2, số 159 TT3 Khu đô thị Mỹ Đình � Mễ Trì
Số 16, ngõ 594 đường Láng
Phòng 1002, tầng 10
Đường tiếp giáp dịch vụ 3 Số 21, tổ dân phố 2 Văn Phú
Số nhà 27, tổ 3khu Tân Bình
Tầng 3, số 188 Vạn Phúc
Số 1B, Tổ 29 Tôn Thất Tùng
Số 16, ngõ 16
Số nhà 146, phố Hưng Đạo
Số 9, ngách 443/116 Nguyễn Trãi
Phòng 428, Khu Văn phòng Regus
Số 2a, ngõ 84 Chùa Láng
Xóm Bãi, Thôn Vân Hội
Xóm Chùa, Thôn Lam Điền
Phòng 2, Số 17 ngõ 2 phố Phương Mai
P.1201, 2 tầng 12 Keangnam Hanoi Landmark 72
Số nhà 16, tổ 16
Tầng 1, Khối B Chung cư Tân Việt
Số 55c, Ngách 294/8
Số A4 Khu X1, Đường Liên Cơ
Số 55, Phố Phúc Lợi (Lô C.7/P)
Nhà số 41/44, tổ 19 Phố Trần Thái Tông
Tầng 6, số 174
NV 54, Khu đô thị mới Trung Văn
Tầng 2 Tòa nhà Audi Building, số 8 Phạm Hùng
TDP số 5, Khu đô thị Mễ Trì Thượng
8/11/92 Lê Quang Đạo, Tổ dân phố số 5
Tầng 6, tòa nhà Golden Field
Lô số 145, (LK 06
Số 9A lô B10, ngõ 29 Nguyễn Chí Thanh
CL23, 31 Khu Đồng Đế
Số 22, ngõ 59
Thôn Mai Trai, Xã Vạn Thắng
Thôn Quế Lâm, Xã Hiệp Thuận
Số nhà 8, xóm 10
Tầng 23, Toà nhà Vinaconex 9
Số 1 hẻm 27 ngách 192 ngõ 8 đường Lê Quang Đạo, TDP 2
Phòng G32415 Vinhomes Green Bay, Số 7 Đại lộ Thăng Long
Tầng 6 Tòa nhà Sannam, 78 phố Duy Tân
Số 33, ngách 29/17
Số nhà 9 ngách 114/9 ngõ 114 Phố Thanh Lân, Tổ 16
VP403, Tầng 4
Số nhà 104B, A3
NO 01 � LK 02, Khu đất dịch vụ Cây Quýt
Số nhà 12, ngõ 628A Hoàng Hoa Thám
Số 17, ngõ 61
Tầng 3 tòa H2 tòa nhà Hòa Bình Green, 505 Minh Khai
Tầng 12, Khu văn phòng
Tầng 2 Ciputra Club, khu đô thị Nam Thăng Long
Tầng 18, Tháp 1 tòa nhà Capital
Số 17A, ngõ 210 đường Ngọc Hồi
Tầng 6, Số 146 Đường Trần Bình
Sàn thương mại dịch vụ tầng 2 (A8, 7
Số 6, Ngõ 97 Phạm Ngọc Thạch
Số nhà 3B, Ngách 35
Tầng 5, Leadvisors Place
Mộc Lan 5, 03
Số 20, Ngách 94
Số nhà 14 Khu dãn dân, tổ dân phố số 2 Ngọc Trục
Số 3 ngách 15 , ngõ 127
Tầng 2, số 3
Số nhà 19, ngõ 193/30/2
Số B48 LK, Khu đấu giá quyền sử dụng đất 3Ha
Số 3, Ngách 145/77/33 Đường Cổ Nhuế
Số 71, Hẻm 606/83/2
Số nhà 14, Ngách 56 Ngõ 1 Phố Đại Linh
Số nhà 62, ngõ 2 Đại lộ Thăng Long
Phòng 1110, tầng 11 Tòa nhà Việt á
Số 07, Nhà A7
Số 2, hẻm 5
Thôn Yên Tàng, Xã Bắc Phú
N20, LK11
Số 45 Đường Nguyễn Viết Xuân, Phường Khương Mai
11A Hẻm 218/27/8 Lạc Long Quân, Phường Bưởi
Số 1, ngõ 40 phố Đức Giang
Số 30 ngách 211/38 phố Khương Trung, Phường Khương Trung
Số nhà 34 No9 khu đô thị mới Sài Đồng, Phường Việt Hưng
14_TT6 Khu đô Thị Văn Phú, Phường Phú La
Tầng 2, nhà 34G
Tầng 5, Tòa nhà UDIC Complex N04 Hoàng Đạo Thúy
Tầng 12 Toà nhà Hồng Hà Center, Số 25 Lý Thường Kiệt
Số 27 Ngách 48 Ngõ 157 La Dương, tổ dân phố Thành Công
Tầng 3, Lô 3+4
Số 5A, ngõ 102/2 đường Nguyễn Đổng Chi
Số 60, Đường Trung Dương Đông
Số 2, ngõ 62
Kiot số 7, đường Láng
Km6, Quốc lộ 3
Số 30, ngõ 77 Bùi Xương Trạch
Số nhà 14,Ngách 11
Số nhà 34, ngõ 32 Hào Nam
Số 177/12 ngõ Thịnh Quang, phố Vĩnh Hồ
Số 26 ngách 55 ngõ Chùa Liên Phái, Phố Bạch Mai
Tầng 17, Tòa nhà Prime Centre
Số 5, phố Quảng Bá
Tầng 9, Tòa nhà Detech Tower 2
Tầng 2, A1
S� 135, ng� 285 ��i C�n
S� 8 Ng� 298/31/44 ���ng Ng�c H�i, Th�n Y�n Ng�u
T�ng 1, S� 22 Ng� 157/29 Ph� Ch�a L�ng
S� nh� 107, ���ng H�ng Minh Tri Trung
112,114 ��n Nguy�n 3
Tầng 6 Tòa nhà Việt á, số 9 Phố Duy Tân
92 Mai Động, Phường Mai Động
Tầng 5, Số 202 đường Khương Đình
Số 7, ngõ 362 đường Nam Dư
NV2.7, Dự án đầu tư xây dựng công trình nhà ở thấp tầng và c
Số 6, khu liền kề 5
Số 1, lô M1
Số 183, ngõ 6
Số 6, Dãy C2
Số 32/19, đường Hàm Nghi
Số 9, ngõ 54/27 Bùi Xương Trạch
Số nhà 34, ngõ 370
Đội 7, Thôn Mai Trai
Tầng 5, Tòa nhà NO2 Gold Season TNL
Số 6, ngõ Ao Sen 3
Thôn Thúy Lai, Xã Phú Kim
Số 17C, tổ 80
Tầng 4, NT2
Tầng 2, NT2
Tầng 3, NT2
Tầng 12, tòa Licogi 13
ô Số 14, Lô 1 � 2
NT2, khu đô thị Mỹ Đình 2
Lô 44H, Khu công nghiệp Quang Minh
Xóm 1, Liệp Mai
Nhà số 10, Ngách 53/68
Số 257, Phố Vân Trì
Số 68 TT K51 Ao Sen, Tổ 3
Tầng 1 BT08, N09A
Số 12, ngách 168 ngõ Văn Chương
Số 133, Phố An Trạch
Số 6 ngõ 139, đường Nguyễn Thái Học
Số 8, ngõ 53
TT10 Khu nhà ở để bán kết hợp văn phòng và dịch vụ, Riversi
LK159, DV3 khu đào đất hàng bè Mậu Lương
Số nhà 22E, ngách 55
Phòng 405, Tầng 4
Số 2, ngõ 560/65 Nguyễn Văn Cừ
Số 31, Ngõ 33
Số nhà 16 ngách 121, ngõ Thịnh Quang
Số nhà 5, ngõ 15
P.808, Tầng 8
Nhà số 56 Block 7, ô H
Phòng 3008, Toà A3
Số nhà 321, đường Trường Chinh
Điểm X5, Khu Ma Vũ
Nhà số 7, ngõ 30 Phùng Khoang
Số nhà 21, ngách 25
Tầng 2, Indochina Plaza
Số 8, Ngõ 135 Triều Khúc
Số nhà 11, ngõ 88 Trần Duy Hưng
95 Ngõ 1, phố Bùi Xương Trạch
Nhà số 6, ngõ 61/21/4 phố Phạm Tuấn Tài
Xóm 1, Thôn Cổ Điển
Số 2, ngõ 104 Đường Lê Thanh Nghị
DV16, LK720 Khu dịch vụ Đào Đất
Lô U16, 12
Tầng 4, số 34
Tầng 9, Tòa nhà Zodiac
ô C1CC1, Dự án Khu trung tâm đô thị Tây Hồ Tây
Số 10, Hẻm 158/2/49
Phòng 302 Tòa Nhà RainBow Số 79, Đường 19/5
ô số 16, lô 06
Tầng 4, Số 21 Đường 2.2 Khu đô thị Gamuda Garden
Tầng 5, số A 26 Khu đấu giá Vạn Phúc
TT19, B20 Khu đô thị Văn Quán
Tầng 2 tòa nhà văn phòng, số 96
Số 235 Khuất Duy Tiến, Phường Nhân Chính
Số nhà 60, ngõ 160
Tầng 6, tòa nhà kim khí Thăng Long
C01, 42 KĐT Dương Nội
Số nhà 24G, Ngõ 294/11 Đội Cấn
Phòng 301,Tầng 03 tòa nhà Bắc Việt Số 11 Hoàng Cầu Mới
Số nhà 111, Tổ 24
Khu 3, thôn Văn Lôi
Số 49, ngõ 46 đường Xuân Đỉnh
P.421, VP Sky Office
Số 81a, ngõ 68
Thôn 1, Xã Hạ Bằng
Số 15, Ngõ 322/141 đường Mỹ Đình
NO 5.28, đường Phúc Lộc
Số 62, ngõ 12 phố Lương Khánh Thiện
Số Nhà 27, Ngõ 4
Số 10 ngõ 126/27 Tổ dân phố số 6 Mễ Trì Thượng, Phường Mễ Trì
Tầng 2, Lô 15
Số 7, ngách 81/22/1 Đường Đông Ngạc
Y01, 07 An Phú Shop Villa
Số 7 ngõ 66, đường Hồ Tùng Mậu
Đội 10, Thôn Phù Trì
Số nhà 67, đường Tân Xuân
Số 25, Ngõ 8 Lê Quang Đạo
Số 3 M12 Tổ 23, Đường Nguyễn An Ninh
D29 � NV17, ô 23
Số 6, ngõ 671
Căn hộ 20 nhà thông tầng, Tập thể Sở địa chính nhà đất
Thôn Hoàng Đông, Xã Hoàng Long
Số 512 (Km 11,5) đường Ngọc Hồi
Lô 23, Khu đấu giá Đông Mỹ
Số 14 Ngõ 69A, Phố Hoàng Văn Thái
Số nhà 06 TT3, ngõ 183 Hoàng Văn Thái
Tầng 6 Tòa nhà hỗn hợp Sông Đà, số 131 đường Trần Phú
Số 20 ngõ 649/ 1, đường Bát Khối
Tầng 3, Tòa nhà Tuấn Phát Office
Số 12A1, 132/42 đường Cầu Giấy
Tầng 13, Tòa nhà Charmvit Tower
Tầng 2, Số 15 Phố Trung Kính
Số 12, ngõ 138 phố Chợ Khâm Thiên
Số 2, Ngách 320/36 Đường Xuân Phương
Tầng 3, Tòa nhà VTC Online
Lô 3+4 BT1, Khu đô thị Mễ Trì Hạ
Số 1 đường Thống Nhất 2, thôn Thống Nhất
Tầng 20, Tòa nhà Tổng công ty 319 Bộ Quốc Phòng
Số 70A ngõ 88, đường La Nội
Tầng 1, tòa nhà NO2
Số 31 ngõ 521, đường Phạm Văn Đồng
B2.1, BT09
Số 17, ngõ 529
Kiot số 154, Tòa M1C
Tầng 8, Toà nhà Licogi 13
B1.4, liền kề 7
Tầng 3, số 138 đường Yên Lãng
Khu Đồi Xanh, thôn Thổ Ngoã
Xóm Quyết Tiến, thôn Cấn Thượng
Khu 1, thôn Văn Lôi
Số nhà 40, Ngõ 98 đường Nguyễn Văn Giáp
số nhà 14, ngách 175
Đội 8, thôn 2
Tầng 4 Toà nhà Hud 3, 123 Tô Hiệu
C2, 40 khu đô thị Nam Thăng Long
Tầng 6 tòa nhà Sannam, Số 78 Phố Duy Tân
Số 4, ngách 2
Số 41, ngõ Huế
Số 9 Ngách 84/2, đường Đàm Quang Trung
Nhà số 15, Lô 2
Thôn Ngọc Trát, TDP Ngô Sài
Số nhà 52, Ngõ 10 Phố Nguyễn Thị Định
Xóm 8, thôn Vĩnh Ninh
Số 144, Phố Hồng Tiến
ô 41 LK5 dự án nhà ở cán bộ chiến sỹ C14, tiểu khu ĐTM Vạn
Tầng 10, tòa nhà IDMC Mỹ Đình
Số nhà 28, ngõ 35
Số 5, ngõ 367
Số 08, đường Long Cảnh Đông 1
Tầng 1, Số 163 đường Giải Phóng
Số nhà 25K, ngõ 190 Lò Đúc
Số nhà 8, ngách 145/92
Số 68, Ngõ 96
Phòng A111, Nhà khách Văn phòng Chính phủ
số 35, Lô 7
Tầng 9, tòa nhà Gelex
Số nhà 9, ngõ 292
Tầng 3, NOCT1
Tầng 5, số 233 đường Quan Hoa
Tầng 3, T2 Times Tower
Số nhà 18, ngõ 327 Vũ Tông Phan
Tầng 4, tòa nhà số 87 Vương Thừa Vũ
Số 14, ngõ 39
Số nhà 51, Khu tập thể Học viện Khoa học quân sự
Số nhà 14, ngõ 24 đường An Thọ 2
Số 1, Ngõ 42 Phố Thụy ứng
Số nhà 10, Ngõ 63/180/23 (thửa đất số 283)
Tầng 9, Toà nhà Zodiac
B18, 15 Vinhomes Gardenia Hàm Nghi
Biệt thự số 18.BT3, Đường Foresa 5A
Cụm 11, Thôn Thượng Hội
Tầng 10, Tòa nhà Pacific Place
Tầng 2, số 7 ngõ 161 đường Ngọc Hồi
Biệt thự 4.6, Khu đô thị Nam Cường
Số nhà 5B, ngách 8
Số 5, Tổ 80
Số 145, ngõ 196 đường Chiến Thắng
A19, NV8 ô số 29
A4 Ngõ 44/65 Nguyễn Cơ Thạch, Tổ 12
Số 3, ngách 129
tầng 16, tòa nhà IDMC
Số 7, Phố Hàng Ngang
Số 43, Ngách 15 Ngõ 167 Phố Tây Sơn
704 Tầng 7 Tháp Hà Nội, số 49 Hai Bà Trưng
Số 26, ngõ 54
Số nhà 35, ngách 2
Số 29, Ngõ 126
ML6, 27
Số nhà 8, ngách 27/41 đường Tây Mỗ
ô số 10, khu đô thị thương mại Vĩnh Hoàng
Số 84 đường Đạc 2, Đạc 10
Phòng 404, tòa nhà Vimeco
Số 8, Ngõ 59/8/11
Số 5 Ngách 24, Ngõ 83 Tân Triều
Phòng 416 Register 02, tòa nhà Press Club
601, Spaces Hanoi Belvedere
Số nhà 1, Dãy A1
TT37, 36
Số 17, phố Trần Phú
Số 10, ngách 124/22/41 đường âu Cơ
BT04, 08 khu đô thị mới Phú Lương
Tầng 2, Số 163 đường Giải Phóng
Số 21, Ngách 28
Số 35 ngõ 20 đường Hồ Tùng Mậu, Tổ 21
Số 30, ngách 49
Tầng 3, Số 185 Phố Chùa Láng
D11, NV9 căn số 47
Tầng 6, số 139 tòa nhà văn phòng CTM
Số 18, Ngách 33
Tầng 5, số 201 Bà Triệu
Số nhà 3b , ngõ 26
Số 8, H3A ngách 18 ngõ 469 Nguyễn Trãi
Phòng 905, tầng 9
Tầng 9, Tòa nhà CTM
Số 2, hẻm 70/79/16
Phòng H6, 1 Tầng 6
Khu 10 Tấn, Tổ 4
Số 13, liền kề 19
Số 9d Ngách 45 Ngõ 58 Nguyễn Khánh Toàn, Tổ 6
Số nhà 5A, Ngõ 256
Số 02, ngõ 198
Phòng A6, tầng 29
Số 32 Bạch Thái Bưởi, Phường Văn Quán
Thôn Yên Lũng, Xã An Khánh
Xóm 5, Thôn Đông Lao
Phòng 1, Nhà A15
Số nhà 11, phố Đặng Dung
Số nhà 6, dãy D1 KĐT Cầu Diễn
Số 32 phố Phan Đình Giót, Phường La Khê
Số 52a, Tổ 23 Cụm 3
Ph�ng 905, t�a D
Số 5, ngách 46/15
Số 65 Trần Đăng Ninh, Phường Quang Trung
Số nhà 11 đường Trục Chính, Thôn Tiên Lữ
Số 09, phố Mai Hắc Đế
S� 158 ���ng La Th�nh, Phường Lê Lợi
Số 66 Nguyễn Du, Phường Nguyễn Du
Số 39 Nguyễn Đình Chiểu, Phường Lê Đại Hành
Số 1, ngõ 172 Nguyễn Tuân
Tầng 11, Nhà B Khách sạn Thể thao
LK 5, 129
Số 10A, Ngõ 43 Thôn Sáp Mai
Số 39, ngõ 33
Số 5 Dãy D ngõ 319 Tam Trinh, Tổ 50
36 Hoàng Cầu, tầng 4
Số 18, ngách 49/178 phố Thái Hà
Số 64, Ngách 164/85 Vương Thừa Vũ
Số 20 Yên Lạc, Phường Vĩnh Tuy
Ki ốt 6, CT4A Xa La
Số 61, Ngõ 12
Số nhà 64a, ngõ 64
Tầng 7, Tòa nhà A1/D21 Khu Đô Thị Mới Cầu Giấy
Thôn 2, Xã Bát Tràng
Số 12, ngõ 123
Tầng 11, Tòa nhà đa năng
Xóm Giếng Mới, thôn Cổ Điển A
S� 2, ng� 6
Số 15, ngõ 241 Yên Xá
Đội 8A, thôn Đào Xuyên
Tầng 9 Tòa nhà 3D, Số 3
Số 9A, Ngách 130/16
Tầng 3, Khu dịch vụ sân bay Gia Lâm
Tầng 2 tòa nhà Vinahud, Trung Yên 9
Số 58, ngõ 32/15/46 An Dương
Tầng 3 Tổ hợp văn phòng, nhà ở cao cấp kết hợp dịch vụ thươn
Số 22 Ngõ 1 Huyền Kỳ, Tổ 7
B1.4LK35, 06 khu đô thị thanh hà cienco 5
Số 17, ngõ 7
83 Tuệ Tĩnh, Phường Nguyễn Du
Số 59A, phố Quan Hoa
16A ngõ 250 Khương Trung, Phường Khương Đình
Biệt thự 03 khu nhà ở liên hợp, số 262 Nguyễn Huy Tưởng
Tầng 29 Tòa nhà Lotte Center Hà Nội, Số 54 Liễu Giai
Số 9 Phạm Văn Bạch, Phường Yên Hoà
Số 7 tổ 31 ngõ 860 Minh Khai, Phường Thanh Lương
S� nh� 28, F Khu nh� � th�p t�ng t�i � ��t A10 Khu �� th� Nam
P02, T�ng 4
S� E27 ng� 68, ���ng Trung K�nh
Số 49, ngách 99
Số 17 ngõ 1295 đường Giải Phóng, Phường Giáp Bát
